"E10.5"	"E11.5"	"E12.5"	"E13.5"	"E14.5"	"E15.5"	"E16.5"
"Auts2"	-0.305647560849515	-0.522689163728993	-0.398958023277459	-0.580378169780165	-0.661495752574625	-0.632417040784674	-0.531138888074063
"Iqcj.Schip1"	-0.259273837632048	-0.533668419383307	-0.437255872107485	-0.660816047125294	-0.75287424172787	-0.723639053849158	-0.752199312677714
"Tbc1d25"	0.347906416570412	0.906129968146301	1.08711369375314	0.760590049901147	1.00692888426123	1.20711526621919	1.03274620882078
"Cul4b"	0.0790885294084909	0.0519524049733811	0.0501775294851257	-0.089619529699636	-0.10089863989203	-0.268163965920699	-0.276648678374649
"Dhx8"	-0.206627905761042	-0.444363909176786	-0.52104041665979	-0.727250050332934	-0.880423767594664	-0.944374408214617	-1.01614432593498
"Pgap3"	1.07301388290006	1.508430838023	1.20107226966651	1.34477020567947	1.4043809073339	1.35145669147972	1.45906937289297
"Arfgef2"	0.0693260564299898	0.0441799746757603	0.0102903511899548	-0.00102129433309983	-0.0259315777490841	-0.00956051571039396	-0.0239466349202786
"Smurf2"	0.0518055286335439	-0.0532423032544607	0.0668464772091468	-0.0152287927761918	-0.106033549089741	0.0637748166784533	0.0722251461769226
"Tanc2"	-0.0635887858422706	0.000730569693885741	0.0124622361193083	0.00636076943956354	-0.0463618084450701	-0.117911897546207	-0.251578488303309
"Fam171a2"	-0.425100053726108	-0.398015913951355	-0.285351865700889	-0.362642541887102	-0.0751310626952524	-0.162484134114194	-0.249494417623644
"Gpatch8"	0.112662940060599	0.0780233607918852	0.274800861193537	0.105357295681074	0.0515754686423975	0.070563385751278	0.00247269122556304
"Cdc27"	-0.284439391913988	-0.529983411932946	-0.683967952007336	-0.827365446338536	-0.972636456504905	-1.04376307511949	-1.17153978593492
"Cdr2l"	-0.155105940197966	-0.262190412826858	-0.27039659632268	-0.335020931239242	-0.40008281226757	-0.336612048144698	-0.392631346286468
"Zmym4"	-0.179475497510428	-0.389743781770957	-0.522482334245886	-0.700942620119214	-0.804490338712625	-0.931522029432301	-1.0753624018184
"Ptprf"	-0.378471054283409	-0.485954201898938	-0.447796916774518	-0.473725183371698	-0.46613558439774	-0.4097597771914	-0.394529128500654
"Tmem201"	-0.131842002473775	-0.195094343853981	-0.302735364896197	-0.272381686428215	-0.11989199601479	-0.121801670052218	-0.0898461051783883
"Osbpl9"	-0.0593621225272472	-0.0379790852685709	-0.020906871059978	-0.00687496426735734	-0.0195222981803482	0.00686424440601741	-0.0434212803486886
"Prdm16"	0.165428444910127	0.426403105843384	0.398621821876695	0.26487204138288	0.471482702563645	0.412437515127653	0.202888634238754
"Kiaa1109"	0.0832926342239588	-0.18516022008116	-0.0519565724408668	-0.0280592553644112	-0.11977727768636	-0.018456108303285	-0.0461755215366804
"Obscn"	0.0491698257686046	0.0379435887036372	-0.041208051389745	-0.0392534835917822	-0.0176371480420663	0.0326478043761149	0.104853474233693
"Sh3pxd2b"	-0.200155572796028	-0.0132801145473032	0.0174391496686184	-0.107374364530195	-0.136745947897065	-0.194887367820513	-0.307322644902086
"Arhgap27"	-0.329532695337889	-0.497632950834268	-0.425064814337315	-0.539800296839653	-0.352080928337159	-0.277348788599964	-0.383785764665173
"Med14"	-0.183529826311869	-0.321592842618731	-0.39920526872779	-0.46359463362694	-0.585491712884458	-0.707489920950337	-0.762337150659011
"Faap100"	0.413503291366734	0.507673074901245	0.552433293167514	0.504894331088263	0.501063434990549	0.577894912906572	0.417202474736019
"Ttc39a"	-0.0339616289496369	0.071497091270242	0.416667927380134	0.224304317270242	0.299484111582688	0.298948084325474	0.27692462805148
"Pusl1"	-0.150449477788811	0.0460002004425668	0.0720277153760307	-0.0191821308637223	-0.0474309141428435	0.0828244193129919	-0.110332377246948
"Ddi2"	0.336045873254207	0.374466649506658	0.437263110301124	0.447707857201465	0.43374703829064	0.41851211751997	0.28096787597573
"Dock11"	-0.474586180634379	-0.502109442408607	-0.478413010100269	-0.572245529216083	-0.640279067084332	-0.724616011653278	-0.853325995883967
"Bclaf3"	-0.148162571906106	-0.256446153843079	-0.281301953955275	-0.472746843551899	-0.488019911408571	-0.577329624853984	-0.602592965211503
"Med12"	-0.238038077421368	-0.267419723706016	-0.230692931243642	-0.32169810690257	-0.305602298956021	-0.258918335060308	-0.345395875208123
"Ckap5"	-0.339236254472585	-0.505901896809018	-0.635231392161209	-0.674275292212837	-0.702231588670706	-0.753276415654636	-0.743605744065803
"Prdm11"	0.479426999580831	0.648736366887643	0.917094105702816	0.98106804359465	0.893664741791586	0.95343563390027	0.832743426850321
"Ambra1"	0.105875285627551	-0.0747495737882371	-0.0318362998634107	-0.112740738063051	-0.237617701239913	-0.181055017975133	-0.20931292192377
"Camsap1"	-0.336775801473337	-0.523722883542586	-0.612631236757743	-0.674164068648199	-0.714383984452372	-0.765084201458944	-0.867652733125841
"Brwd3"	-0.293646885848894	-0.448422726509133	-0.484667924107734	-0.692318547947714	-0.859711578683971	-0.971665704073768	-1.05805262321125
"Ndufaf6"	-0.659731879078304	-0.749676659650277	-0.62556078975806	-0.571010796225625	-0.401460857476007	-0.504520021940841	-0.535437723810452
"Virma"	-0.169299133879878	-0.341967169257913	-0.465481802300509	-0.512190719165073	-0.552040653151447	-0.617558431386886	-0.776023034461641
"Man1b1"	-0.00497784527455636	-0.129501891039823	-0.223798494552188	-0.337764368038485	-0.396311324606557	-0.467113750548396	-0.568121427653963
"Map7d1"	-0.158890128529833	-0.198655997301032	-0.326219324055831	-0.393699914027376	-0.447573283809689	-0.393460917588591	-0.544633696849861
"Chd7"	-0.382105862991914	-0.749058988434623	-1.03126501800623	-1.30961312673385	-1.51848079390049	-1.60842220663521	-1.73925826972413
"Dpy19l4"	0.128345781603588	0.0504138174515276	0.0505837317629414	-6.03300557422415e-05	-0.234097053267476	-0.204051894142591	-0.278208881039824
"Pnisr"	0.0559631993648289	0.0641797916684723	-0.0675936625347227	-0.215841527215105	-0.178164699824443	-0.114584270881721	-0.329148452479874
