"","e9-set3","e9-set5","e9-set6","e12-set2","e12-set3","e12-set5","e12-set6"
"ENSMUSG00000102693",0,0,0,0,0,0,0
"ENSMUSG00000064842",0,0,0,0,0,0,0
"ENSMUSG00000051951",22,13,9,46,88,34,61
"ENSMUSG00000102851",0,0,0,0,0,0,0
"ENSMUSG00000103377",0,0,0,0,0,0,0
"ENSMUSG00000104017",0,0,0,0,0,0,0
"ENSMUSG00000103025",0,0,0,0,0,0,0
"ENSMUSG00000089699",0,0,0,0,0,0,0
"ENSMUSG00000103201",0,0,0,0,0,0,0
"ENSMUSG00000103147",0,0,0,0,0,0,0
"ENSMUSG00000103161",0,0,0,0,0,0,0
"ENSMUSG00000102331",6,1,0,1,0,8,0
"ENSMUSG00000102348",0,0,0,0,0,1,0
"ENSMUSG00000102592",0,0,0,0,0,0,0
"ENSMUSG00000088333",0,0,0,0,0,0,0
"ENSMUSG00000102343",0,0,0,0,0,0,0
"ENSMUSG00000025900",2,3,8,5,11,3,2
"ENSMUSG00000102948",0,0,0,0,0,0,0
"ENSMUSG00000104123",0,0,0,0,0,0,0
"ENSMUSG00000025902",225,239,234,196,197,295,209
"ENSMUSG00000104238",1,0,2,1,1,3,2
"ENSMUSG00000102269",4,4,1,9,7,2,5
"ENSMUSG00000096126",1,3,1,0,0,0,0
"ENSMUSG00000103003",0,0,0,0,0,0,0
"ENSMUSG00000104328",2,1,0,0,3,4,2
"ENSMUSG00000102735",1,1,0,1,1,1,0
"ENSMUSG00000098104",1,4,1,0,2,4,3
"ENSMUSG00000102175",0,0,0,0,0,0,0
"ENSMUSG00000088000",0,0,0,0,0,0,0
"ENSMUSG00000103265",0,0,0,0,0,0,0
"ENSMUSG00000103922",24,10,9,15,41,27,30
"ENSMUSG00000033845",2576,2072,2086,1858,1859,2330,2016
"ENSMUSG00000102275",52,26,21,23,9,29,6
"ENSMUSG00000025903",4359,2883,2875,3036,3319,3898,3336
"ENSMUSG00000104217",5,6,8,0,3,3,3
"ENSMUSG00000033813",4175,3611,3686,3371,3904,4355,4374
"ENSMUSG00000062588",36,14,20,30,39,25,44
"ENSMUSG00000103280",3,0,5,1,0,2,4
"ENSMUSG00000002459",13,5,3,7,8,6,4
"ENSMUSG00000091305",0,0,0,0,0,0,0
"ENSMUSG00000102653",0,0,0,0,0,0,0
"ENSMUSG00000085623",0,0,0,0,0,0,0
"ENSMUSG00000091665",0,0,0,0,0,0,0
"ENSMUSG00000033793",1930,1489,1526,1773,1647,1893,1729
"ENSMUSG00000104352",0,0,0,0,0,1,0
"ENSMUSG00000104046",10,16,7,4,2,1,1
"ENSMUSG00000102907",3,9,7,2,1,0,0
"ENSMUSG00000025905",182,201,140,81,80,73,76
"ENSMUSG00000103936",0,0,0,0,0,0,0
"ENSMUSG00000093015",0,0,0,0,0,0,0
"ENSMUSG00000103519",0,0,0,0,0,0,0
"ENSMUSG00000033774",5,7,4,0,1,0,1
"ENSMUSG00000103090",0,0,0,0,0,0,0
"ENSMUSG00000025907",1671,1537,1585,1992,1878,2100,1974
"ENSMUSG00000090031",181,165,209,163,113,166,114
"ENSMUSG00000087247",0,0,0,0,0,0,0
"ENSMUSG00000103355",0,1,4,0,0,0,0
"ENSMUSG00000102706",0,0,0,0,0,0,0
"ENSMUSG00000103845",1,5,8,14,11,5,8
"ENSMUSG00000033740",7,0,0,10,13,6,0
"ENSMUSG00000103329",0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0
"ENSMUSG00000102135",5,0,4,5,4,8,0
"ENSMUSG00000103282",0,0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0,0
