"","e9-set3","e9-set5","e9-set6","e14-set2b","e14-set3b","e14-set5"
"ENSMUSG00000051951",23.013483975066,14.720944285279,10.3463104292631,56.8231117494852,66.755311235621,53.3820671266608
"ENSMUSG00000025902",235.36517701772,270.638898783207,269.004071160842,381.291315072632,333.776556178105,617.706776751361
"ENSMUSG00000103922",25.1056188818902,11.3238032963685,10.3463104292631,42.8232146517859,18.0632018637563,17.4308790617668
"ENSMUSG00000033845",2694.66975998954,2346.29204300755,2398.04483949366,1544.92982089905,1558.14749989967,1713.67329775995
"ENSMUSG00000102275",54.3955075774287,29.4418885705581,24.141391001614,23.0586540432693,9.42427923326414,7.62600958952297
"ENSMUSG00000025903",4559.8080294233,3264.65249034304,3305.07138712573,3599.62060082608,2819.43020395152,2859.75359607112
"ENSMUSG00000033813",4367.33161799548,4089.02537031866,4237.38891580711,3977.61782246396,3229.38635059851,3098.33875322905
"ENSMUSG00000062588",37.6584283228352,15.8533246149159,22.9918009539181,34.587981064904,30.6289075081085,26.1463185926502
"ENSMUSG00000033793",2018.91018508533,1686.11431082927,1754.27441278395,1714.57563278881,1494.53361507514,1324.74680869428
"ENSMUSG00000025905",190.384276521,227.608446257007,160.942606677427,41.9996912930977,34.5556905219685,25.0568886512898
"ENSMUSG00000025907",1747.9787146516,1740.46856665184,1822.10022559801,1921.27999581955,1578.56677157174,1382.48659558638
"ENSMUSG00000090031",189.338209067588,186.84275439008,240.264319968444,196.822082726478,176.705235623703,173.219360676308
"ENSMUSG00000051285",1270.97195589569,1262.60406754509,1180.62897898369,1903.9860052871,1584.84962439392,1507.77103884283
"ENSMUSG00000103509",9.41460708070881,83.7961443931268,93.1167938633683,63.4112986189907,93.4574357298694,67.5446563643463
"ENSMUSG00000048538",13.5988768943572,13.5885639556422,13.7950805723509,18.9410372498284,10.9949924388082,15.2520191790459
"ENSMUSG00000097797",31.3820236023627,19.2504656038264,21.8422109062222,16.4704671737638,24.3460546859324,16.3414491204064
"ENSMUSG00000025909",4.18426981364836,0,0,40.3526445757213,13.3510622471242,44.6666275957774
"ENSMUSG00000061024",2135.02367241408,2255.7016166366,2154.33174938213,1033.52181515368,1185.10311358297,1119.93397971852
"ENSMUSG00000025911",32.4280910557748,23.7799869223738,18.3934407631345,153.998868074692,159.427390362718,240.764017040654
"ENSMUSG00000079671",4.18426981364836,5.66190164818424,8.04713033387134,45.2937847278505,34.5556905219685,65.3657964816255
"ENSMUSG00000025912",236.411244471132,192.504656038264,227.618829443789,453.761370637193,468.857891854891,307.21924346364
"ENSMUSG00000045210",1437.29668098821,1480.02109083536,1631.26827768049,1439.51883098696,1279.34590591561,1061.10476288505
"ENSMUSG00000097893",12.5528094409451,50.9571148336582,37.9364715739649,46.9408314452269,38.4824735358286,50.1137773025795
"ENSMUSG00000025915",400.643834656831,361.229325154155,288.547101971672,653.054023439735,618.075646381573,623.153926458163
"ENSMUSG00000046101",34.520225962599,35.1037902187423,28.7397511923976,13.176373739011,13.3510622471242,17.4308790617668
"ENSMUSG00000098234",816.978681114842,746.238637230683,708.147469380678,379.644268355256,557.603187968128,515.300362263481
"ENSMUSG00000099032",220.720232669951,241.197010212649,264.405710970058,216.586643334994,175.919879020931,197.186819386237
"ENSMUSG00000025917",4828.64736495021,4369.8556920686,4283.37251771494,3721.50205791193,4062.64970613962,3670.28947244327
"ENSMUSG00000056763",889.157335400277,1011.21563436571,1049.57571354636,677.759724200381,733.523066989059,635.137655813128
"ENSMUSG00000067851",4105.81475464245,5160.25716215512,5684.72278585625,3704.20806737948,3315.77557690343,2969.78602014852
"ENSMUSG00000048960",464.453949314968,629.603463278088,780.57164238552,685.171434428575,674.621321781158,605.723047396396
"ENSMUSG00000057715",13.5988768943572,3.39714098891055,0,17.293990532452,18.0632018637563,27.2357485340106
"ENSMUSG00000016918",1015.73149726314,1201.4555297447,1016.23760216318,3925.7358508666,4310.82239261557,3951.36239731426
"ENSMUSG00000025938",157.956185465226,251.38843317938,175.887277297474,71.6465322058726,79.3210168799732,66.4552264229859
"ENSMUSG00000005886",1794.00568260173,2911.34982749634,2811.89725666418,2412.9234409564,2284.60235746378,2275.81914750193
"ENSMUSG00000025935",3649.72934495478,2955.51266035218,2960.19437281696,2953.15476425585,2460.52223648471,2543.81891307659
"ENSMUSG00000025937",1011.54722744949,971.582322828416,861.042945724233,757.641489993135,757.083765072219,605.723047396396
"ENSMUSG00000025932",46.026967950132,73.6047214263952,70.1249929094502,102.940419836024,89.5306527160094,91.5121150742757
"ENSMUSG00000025930",0,2.2647606592737,0,65.0583453363671,42.4092565496886,100.227554605159
"ENSMUSG00000032769",1.04606745341209,2.2647606592737,1.14959004769591,64.2348219776789,58.1163886051289,56.6503569507421
