"","e9-set3","e9-set5","e9-set6","e14-set2b","e14-set3b","e14-set5"
"ENSMUSG00000102693",0,0,0,0,0,0
"ENSMUSG00000064842",0,0,0,0,0,0
"ENSMUSG00000051951",22,13,9,69,85,49
"ENSMUSG00000102851",0,0,0,0,0,0
"ENSMUSG00000103377",0,0,0,0,0,0
"ENSMUSG00000104017",0,0,0,0,0,0
"ENSMUSG00000103025",0,0,0,0,0,0
"ENSMUSG00000089699",0,0,0,0,0,0
"ENSMUSG00000103201",0,0,0,0,0,0
"ENSMUSG00000103147",0,0,0,0,1,0
"ENSMUSG00000103161",0,0,0,0,0,0
"ENSMUSG00000102331",6,1,0,0,0,3
"ENSMUSG00000102348",0,0,0,0,0,0
"ENSMUSG00000102592",0,0,0,0,0,0
"ENSMUSG00000088333",0,0,0,0,0,0
"ENSMUSG00000102343",0,0,0,0,0,0
"ENSMUSG00000025900",2,3,8,2,1,0
"ENSMUSG00000102948",0,0,0,0,0,0
"ENSMUSG00000104123",0,0,0,0,0,0
"ENSMUSG00000025902",225,239,234,463,425,567
"ENSMUSG00000104238",1,0,2,2,0,1
"ENSMUSG00000102269",4,4,1,13,10,6
"ENSMUSG00000096126",1,3,1,1,4,0
"ENSMUSG00000103003",0,0,0,0,0,0
"ENSMUSG00000104328",2,1,0,1,2,0
"ENSMUSG00000102735",1,1,0,0,0,1
"ENSMUSG00000098104",1,4,1,1,3,3
"ENSMUSG00000102175",0,0,0,0,0,0
"ENSMUSG00000088000",0,0,0,1,0,0
"ENSMUSG00000103265",0,0,0,0,0,0
"ENSMUSG00000103922",24,10,9,52,23,16
"ENSMUSG00000033845",2576,2072,2086,1876,1984,1573
"ENSMUSG00000102275",52,26,21,28,12,7
"ENSMUSG00000025903",4359,2883,2875,4371,3590,2625
"ENSMUSG00000104217",5,6,8,2,3,4
"ENSMUSG00000033813",4175,3611,3686,4830,4112,2844
"ENSMUSG00000062588",36,14,20,42,39,24
"ENSMUSG00000103280",3,0,5,2,2,1
"ENSMUSG00000002459",13,5,3,12,18,7
"ENSMUSG00000091305",0,0,0,0,0,0
"ENSMUSG00000102653",0,0,0,0,0,0
"ENSMUSG00000085623",0,0,0,0,0,0
"ENSMUSG00000091665",0,0,0,0,0,0
"ENSMUSG00000033793",1930,1489,1526,2082,1903,1216
"ENSMUSG00000104352",0,0,0,0,0,0
"ENSMUSG00000104046",10,16,7,0,3,0
"ENSMUSG00000102907",3,9,7,2,0,2
"ENSMUSG00000025905",182,201,140,51,44,23
"ENSMUSG00000103936",0,0,0,0,0,0
"ENSMUSG00000093015",0,0,0,0,0,0
"ENSMUSG00000103519",0,0,0,0,0,0
"ENSMUSG00000033774",5,7,4,3,1,2
"ENSMUSG00000103090",0,0,0,0,0,0
"ENSMUSG00000025907",1671,1537,1585,2333,2010,1269
"ENSMUSG00000090031",181,165,209,239,225,159
"ENSMUSG00000087247",0,0,0,0,0,0
"ENSMUSG00000103355",0,1,4,2,1,2
"ENSMUSG00000102706",0,0,0,0,0,0
"ENSMUSG00000103845",1,5,8,9,11,5
"ENSMUSG00000033740",7,0,0,6,15,4
"ENSMUSG00000103329",0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,1,0
"ENSMUSG00000102135",5,0,4,3,3,2
"ENSMUSG00000103282",0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0
"ENSMUSG00000051285",1215,1115,1027,2312,2018,1384
"ENSMUSG00000098201",1,0,0,1,2,1
"ENSMUSG00000103509",9,74,81,77,119,62
"ENSMUSG00000048538",13,12,12,23,14,14
"ENSMUSG00000103709",0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0
"ENSMUSG00000097797",30,17,19,20,31,15
"ENSMUSG00000103498",0,0,0,0,0,0
"ENSMUSG00000103067",0,1,3,2,0,0
"ENSMUSG00000102320",0,0,0,0,0,0
"ENSMUSG00000104226",0,1,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0
"ENSMUSG00000103557",0,0,0,0,0,0
"ENSMUSG00000025909",4,0,0,49,17,41
"ENSMUSG00000102647",0,0,0,0,0,0
